Auction ID,Auction Title,Fund,Auction Fee Total
80155,3 RCA 27" Televisions,Enterprise,$2.07 
80156,TV w/Cart,Enterprise,$0.23 
80157,TV w/Cart,Enterprise,$0.92 
80158,TV Cart,Enterprise,$2.91 
80160,1 Pallet of Poster Board,Enterprise,$9.68 
80161,Monitor w/Cart,Enterprise,$1.03 
80162,Monitor w/Cart,Enterprise,$1.03 
80165,Hussmann Ice Cream Freezer,Enterprise,$36.80 
80166,3 Apollo Projection Screens,Enterprise,$6.33 
80167,Upright Piano,Enterprise,$10.81 
80168,|Vacant Land - 868 Carter Street, Nashville, TN 37206|,General Fund,$528.00 
80169,Ladies Diamond Cluster Ring,Enterprise,$138.00 
80170,Diamond Cluster Earrings,Enterprise,$73.60 
80171,Men's Diamond Watch,Enterprise,$396.75 
80172,Ladies Ring,Enterprise,$3.45 
80173,Ladies Watch,Enterprise,$5.06 
80174,1 Earring,Enterprise,$0.46 
80175,10Kt White Gold Diamond Chain,Enterprise,$178.25 
80176,Ladies Watch,Enterprise,$7.59 
80177,10kt Watch and 2 10k Bracelets,Enterprise,$272.54 
80178,Diamond 'Rock Star' Pendant,Enterprise,$856.75 
80180,Radios & Equipment,Enterprise,$377.20 
80181,Men's Watch,Enterprise,$10.35 
80182,13 Boxes of Law Books,General Fund,$2.56 
80183,'Shrek' Diamond Pendant,Enterprise,$396.75 
80184,1 Lot of Assorted Supplies,General Fund,$2.99 
80185,3 File Cabinets,General Fund,$6.21 
80186,4 File Cabinets,General Fund,$3.68 
80187,3 File Cabinets,General Fund,$13.11 
80188,2 File Cabinets,General Fund,$12.88 
80189,3 File Cabinets,General Fund,$3.80 
80190,10kt White Gold Diamond Chain,Enterprise,$221.95 
80191,Necklace w/ 2 Heart Pendants,Enterprise,$15.64 
80192,10kt White Gold Diamond Pendant,Enterprise,$129.95 
80193,10kt White Gold Foxtail Chain,Enterprise,$174.80 
80194,Men's Watch,Enterprise,$9.89 
80195,10kt White Gold Diamond Cross Pendant,Enterprise,$185.38 
80196,Assorted Parts,Enterprise,$103.96 
80197,1 Lot of Cable,Enterprise,$54.74 
80198,1 Pallet of Service Saddles,Enterprise,$14.26 
80199,Assorted Parts,Enterprise,$85.10 
80200,Assorted Parts,Enterprise,$8.51 
80201,Assorted Parts,Enterprise,$9.20 
80202,Sink,Enterprise,$18.63 
80204,Booth,Enterprise,$7.82 
80205,Warmer,Enterprise,$70.38 
80206,Warmer,Enterprise,$74.98 
80207,Large Wooden Picture Frame,Enterprise,$1.03 
80208,Dell Laptop w/Bag,General Fund,$15.64 
80209,Dell Laptop w/Bag,General Fund,$11.50 
80210,Dell Laptop w/Bag,General Fund,$11.96 
80211,Dell Laptop w/Bag,General Fund,$34.50 
80212,Dell Laptop w/Bag,General Fund,$35.65 
80213,Dell Laptop w/Bag,General Fund,$35.65 
80214,Dell Laptop w/Bag,General Fund,$31.05 
80215,Dell Laptop w/Bag,General Fund,$22.54 
80216,Dell Laptop w/Bag,General Fund,$16.33 
80217,1975 Chevrolet Caprice Convertible,Enterprise,|$2,507.00 |
80219,Dell Laptop w/Bag,General Fund,$11.50 
80220,2008 Chevrolet Impala,Enterprise,$228.85 
80221,Weed Eater,General Fund,$9.89 
80222,2005 Chevrolet Impala,Enterprise,$149.50 
80223,2009 Chevrolet Impala,Enterprise,$175.95 
80224,Pro Force Blower,General Fund,$9.66 
80225,2000 John Deere Turf Tractor,Enterprise,|$1,121.25 |
80226,Stihl Hedge Trimmer,General Fund,$17.99 
80227,Floor Jack,General Fund,$13.80 
80228,Shelving,General Fund,$106.95 
80229,2003 Bobcat Zero Turn Mower,Enterprise,$454.25 
80230,2003 Bobcat Zero Turn Mower,Enterprise,$465.75 
80231,Dell Laptop,General Fund,$10.00 
80232,Dell Laptop,General Fund,$8.62 
80233,Dell Laptop,General Fund,$8.62 
